Sukunimi;Lkm 2023; Lkm 2021;Yleisyysluokka
Ahlsved;126;130;2
Ahlvik;290;275;2
Ahlvik-Fors;0;20;0
Ahläng;0;22;0
Ahlö;85;81;1
Ahmad;267;228;2
Ahmadi;331;292;2
Ahmajärvi;23;24;1
Ahmala;53;53;1
Ahmaoja;81;83;1
Ahmavuo;29;27;1
Ahmed;1392;1231;3
Ahmed Mohamed;26;23;1
Ahmed Osman;22;21;1
Ahmeti;63;59;1
Ahnger;43;39;1
Aho;7176;7239;3
Ahokainen;166;168;2
Ahokangas;124;125;2
Ahokannas;25;24;1
Ahokanto;48;48;1
Ahokas;2327;2366;3
Ahokivi;0;20;0
Ahola;7482;7542;3
Aholaakko;50;52;1
Aholainen;353;359;2
Aholaita;27;24;1
Ahola-Olli;22;22;1
Aholin;40;40;1
Ahomaa;70;70;1
Aho-Mantila;60;58;1
Ahomäki;150;156;2
Ahonala;37;38;1
Ahonen;10701;10789;4
Ahoniemi;225;232;2
Ahonkivi;43;42;1
Ahonniska;21;21;1
Ahonpää;88;86;1
Ahonvala;33;33;1
Ahopalo;35;38;1
Ahopelto;581;584;2
Aho-Pynttäri;26;25;1
Ahoranta;119;120;2
Ahorinta;44;43;1
Ahosilta;35;34;1
Ahosmäki;53;52;1
Ahosola;101;100;2
Ahotupa;38;37;1
Ahovaara;54;53;1
Ahovalli;36;37;1
Ahponen;194;199;2
Ahrapalo;20;0;1
Ahrenberg;58;58;1
Ahrens;24;22;1
Ahrikkala;22;22;1
Ahsan;20;20;1
Ahtaanluoma;27;27;1
Ahtee;63;65;1
Ahteela;29;30;1
Ahtela;58;59;1
Ahti;460;459;2
Ahtiainen;1533;1559;3
Ahtiala;59;59;1
Ahtialansaari;36;35;1
Ahtikari;64;65;1
Ahtila;91;92;1
Ahtimaa;29;28;1
Ahtinen;293;294;2
Ahto;112;111;2
Ahtokari;25;24;1
Ahtola;531;533;2
Ahtonen;341;339;2
Ahtoniemi;24;25;1
Ahtosalo;22;21;1
Ahva;39;39;1
Ahvalo;25;24;1
Ahven;54;55;1
Ahvenainen;779;782;2
Ahvenharju;21;21;1
Ahveninen;103;98;2
Ahvenisto;23;24;1
Ahvenjärvi;260;264;2
Ahvenkoski;60;61;1
Ahvenlammi;28;28;1
Ahvenlampi;167;167;2
Ahvenniemi;179;179;2
Ahvenranta;24;23;1
Ahvensalmi;71;73;1
Ahvenus;101;103;2
Ahvenvaara;44;43;1
Ahvo;60;62;1
Ahvonen;347;352;2
Aihonen;22;23;1
Aihos;25;23;1
Aikala;72;71;1
Aikasalo;29;30;1
Aikio;783;794;2
Aikioniemi;146;150;2
Aikkila;136;135;2
Aikko;22;22;1
Aikonen;21;20;1
Aila;70;68;1
Ailinpieti;56;55;1
Ailio;200;199;2
Ailunka;29;29;1
Ailus;39;39;1
Aimasmäki;47;47;1
Aimo;26;26;1
Aimola;46;49;1
Aimonen;52;51;1
Ainala;24;22;1
Ainali;166;166;2
Ainamo;36;35;1
Ainasoja;463;456;2
Ainassaari;76;79;1
Ainasto;30;29;1
Aine;52;53;1
Ainesjärvi;20;20;1
Aineslahti;25;25;1
Ainesmaa;27;28;1
Ainetdin;45;42;1
Ainiala;36;36;1
Ainikkamäki;33;33;1
Ainoa;31;31;1
Ainola;75;75;1
Ainonen;74;73;1
Aintila;70;70;1
Airaksinen;2140;2175;3
Airamaa;29;28;1
Airamo;52;51;1
Airanne;26;26;1
Airas;421;411;2
Airaskorpi;24;22;1
Airasmaa;63;63;1
Airasvirta;20;20;1
Airiainen;37;38;1
Airikainen;124;117;2
Airikka;177;172;2
Airikkala;74;77;1
Airila;71;70;1
Airinen;33;34;1
Airio;279;285;2
Airisniemi;77;77;1
Airisto;99;99;1
Airo;137;140;2
Airola;473;477;2
Airos;39;37;1
Airosto;24;24;1
Airto;21;21;1
Airu;20;0;1
Aistola;0;20;0
Aitakangas;20;20;1
Aitala;31;31;1
Aitalaakso;29;30;1
Aitamaa;27;27;1
Aitamurto;84;84;1
Aitasalo;0;21;0
Aitavaara;32;31;1
Aitio;79;79;1
Aitoaho;24;25;1
Aitokari;26;24;1
Aitola;74;76;1
Aitolahti;30;28;1
Aitonurmi;27;27;1
Aitta;167;163;2
Aitta-aho;52;53;1
Aittakallio;28;28;1
Aittakari;25;24;1
Aittakumpu;69;69;1
Aittala;70;71;1
Aittamaa;95;94;1
Aittamäki;145;145;2
Aittanen;24;23;1
Aittaniemi;27;28;1
Aittapelto;23;23;1
Aittasalo;49;48;1
Aittokallio;128;127;2
Aittokoski;128;127;2
Aittokumpu;29;30;1
Aittola;346;353;2
Aittolahti;28;28;1
Aittolampi;44;41;1
Aittomaa;23;21;1
Aittomäki;180;179;2
Aittonen;23;24;1
Aittoniemi;119;119;2
Aitto-oja;450;437;2
Aivio;45;45;1
Ajakainen;36;35;1
Ajalin;62;62;1
Ajanki;117;117;2
Ajanko;60;60;1
Ajanti;23;20;1
Ajanto;26;24;1
Ajo;133;136;2
Ajomaa;25;26;1
Ajosenpää;26;24;1
Ajosmäki;21;21;1
Akbari;71;65;1
Akhtar;31;29;1
Akinci;29;27;1
Akiola;27;26;1
Akkala;35;35;1
Akkanen;586;600;2
Akkila;127;129;2
Akkola;41;41;1
Akkoyun;29;28;1
Akola;62;63;1
Akolahti;57;59;1
Akonniemi;63;61;1
Akram;21;20;1
Akrenius;30;30;1
Aksela;66;77;1
Akseli;26;26;1
Akselin;78;78;1
Aksentjeff;23;23;1
Aksila;108;109;2
Aksola;26;25;1
Aksoy;26;26;1
Aktas;51;47;1
Akter;29;20;1
Akujärvi;91;91;1
al Gangaray;24;22;1
Al Take;35;34;1
Ala;120;125;2
Ala-aho;165;164;2
Ala-Aho;77;164;1
Aladin;23;21;1
Ala-Fossi;70;68;1
Ala-Haavisto;25;26;1
Ala-Hakuni;28;27;1
Ala-Hannula;39;40;1
Ala-Harja;40;40;1
Alaharju;37;37;1
Alahautala;43;41;1
Ala-Heikkilä;126;125;2
Ala-Hemmilä;24;24;1
Ala-Herttuala;32;33;1
Ala-Hiiro;55;56;1
Ala-Hongisto;20;20;1
Alahonko;28;28;1
Ala-Honkola;65;66;1
Alahuhta;115;111;2
Alahuhtala;41;40;1
Ala-Huikku;87;85;1
Ala-Hukkala;35;34;1
Ala-Hulkko;30;30;1
Ala-Hynnilä;30;30;1
Alahäivälä;179;176;2
Alahäme;31;31;1
Ala-Härkönen;25;26;1
Ala-Ikkelä;26;26;1
Ala-Ilkka;28;28;1
Ala-Ilomäki;42;42;1
Alainen;46;46;1
Alaiso;27;28;1
Alaja;45;45;1
Alajakku;22;23;1
Alajoki;319;319;2
Ala-Jokimäki;22;22;1
Alajoutsijärvi;81;84;1
Alajuuma;105;109;2
Ala-Juusela;21;22;1
Alajärvi;198;203;2
Alajääski;55;59;1
Ala-Jääski;66;65;1
Alajääskö;77;79;1
Ala-Kaarre;20;20;1
Alakahri;22;24;1
Alakangas;138;138;2
Ala-Kanto;31;32;1
Ala-Kantti;24;24;1
Ala-Kapee;32;33;1
Alakarhu;67;65;1
Alakarjula;36;36;1
Ala-Karvia;40;40;1
Ala-Kasari;21;20;1
Alakastari;25;25;1
Ala-Katara;27;26;1
Ala-Kauhaluoma;31;32;1
Ala-Kauppila;34;34;1
Ala-Kauttu;29;29;1
Ala-Ketola;34;35;1
Ala-Keturi;41;41;1
Alakiikonen;33;34;1
Alakiuttu;81;81;1
Ala-Kleme;25;25;1
Alakojola;34;31;1
Ala-Kojola;36;39;1
Alakokkare;49;49;1
Ala-Kokkila;25;26;1
Ala-Kokko;93;88;1
Alakomi;22;22;1
Alakontiola;38;39;1
Alakopsa;97;99;1
Ala-Korpela;41;42;1
Alakorpi;32;35;1
Ala-Korpi;74;72;1
Alakorva;58;60;1
