Sukunimi;Lkm 2023; Lkm 2021;Yleisyysluokka
Honkkila;41;42;1
Honko;165;170;2
Honkola;213;213;2
Honkoliini;41;40;1
Honkonen;1441;1443;3
Honkuri;44;44;1
Honni;29;32;1
Hono;28;29;1
Hookana;62;62;1
Hooli;224;222;2
Hopea;60;61;1
Hopeakivi;28;31;1
Hopeakoski;49;47;1
Hopearuoho;23;24;1
Hopeasaari;42;41;1
Hopeavuori;65;66;1
Hopia;340;345;2
Hopiavuori;164;159;2
Hopkins;48;47;1
Hoppa;61;63;1
Hoppania;77;75;1
Hoppari;65;66;1
Hoppela;24;23;1
Hoppendorff;45;42;1
Hoppi;30;31;1
Hoppman;27;26;1
Hopponen;285;289;2
Hoppu;59;59;1
Hoppula;160;166;2
Hopsu;66;68;1
Horelli;83;80;1
Horila;59;62;1
Horkka;31;33;1
Horko;52;53;1
Hormalainen;21;22;1
Hormio;20;21;1
Horn;128;124;2
Hornborg;83;84;1
Hornela;21;22;1
Horneman;59;57;1
Horppila;29;29;1
Horppu;177;181;2
Horsma;98;100;1
Horsma-aho;22;24;1
Horsmalahti;25;24;1
Horsmanheimo;23;23;1
Horstia;23;21;1
Hortans;33;33;1
Hortling;36;34;1
Horto;112;112;2
Horttana;78;83;1
Horttanainen;359;360;2
Hosia;42;43;1
Hosiaisluoma;37;40;1
Hosiasluoma;28;30;1
Hosike;27;27;1
Hosio;274;274;2
Hosiokangas;21;21;1
Hosionaho;231;228;2
Hoskari;61;61;1
Hoskio;22;23;1
Hoskonen;110;112;2
Hossa;21;22;1
Hossain;137;126;2
Hossaini;97;88;1
Hosseini;161;140;2
Hossi;47;47;1
Hostikka;296;304;2
Hostila;31;32;1
Hotakainen;428;413;2
Hotanen;219;218;2
Hotari;153;145;2
Hotarinen;21;22;1
Hoteila;22;23;1
Hoti;39;36;1
Hotinen;30;32;1
Hotokka;87;87;1
Hotta;67;68;1
Hotti;623;619;2
Hottinen;237;243;2
Hottola;47;50;1
Houhala;31;32;1
Houni;160;163;2
Hourula;132;137;2
Houtsonen;99;100;1
Houttu;34;32;1
Hovatov;79;80;1
Hovatta;38;37;1
Hovattala;21;20;1
Hovén;31;31;1
Hovi;1512;1530;3
Hoviaro;28;29;1
Hovikorpi;40;39;1
Hovikoski;28;28;1
Hovila;384;384;2
Hovilainen;165;167;2
Hovilehto;40;39;1
Hovinen;170;173;2
Hoviniemi;47;46;1
Hovinmäki;40;38;1
Hovisilta;26;26;1
Hovivuori;34;33;1
Howard;55;55;1
Hoxell;26;26;1
Hoxha;27;24;1
Hoyer;20;20;1
Hramoff;0;21;0
Htoo;20;0;1
Hu;29;26;1
Huang;50;52;1
Huber;51;46;1
Huczkowski;76;78;1
Hudd;81;79;1
Hugg;44;45;1
Huggare;27;26;1
Hughes;83;81;1
Huhanantti;47;49;1
Huhdankoski;30;31;1
Huhdanmäki;102;105;2
Huhdanperä;28;30;1
Huhdanpää;144;140;2
Huhkio;21;22;1
Huhmarkangas;23;23;1
Huhmarniemi;86;89;1
Huhmarsalo;36;36;1
Huhta;1284;1291;3
Huhta-aho;68;67;1
Huhtahaara;27;27;1
Huhtakallio;166;168;2
Huhtakangas;288;289;2
Huhta-Koivisto;44;44;1
Huhtala;4228;4228;3
Huhtalo;64;66;1
Huhtaluhta;26;26;1
Huhtaluoma;29;27;1
Huhtamaa;98;98;1
Huhtamella;145;144;2
Huhtamo;63;65;1
Huhtamäki;753;755;2
Huhtanen;1241;1258;3
Huhtaniemi;255;262;2
Huhtaniska;133;136;2
Huhtapelto;30;35;1
Huhtarinne;20;0;1
Huhtasaari;125;125;2
Huhtasalo;147;146;2
Huhtaviita;42;40;1
Huhtela;32;35;1
Huhtelin;28;29;1
Huhti;97;98;1
Huhtiainen;29;28;1
Huhtikangas;54;54;1
Huhtilainen;132;134;2
Huhtimo;56;59;1
Huhtinen;625;633;2
Huhtiniemi;211;210;2
Huhtiranta;25;26;1
Huida;110;109;2
Huikari;257;269;2
Huikkala;26;28;1
Huikko;326;329;2
Huikkola;38;39;1
Huikkonen;59;59;1
Huikku;40;40;1
Huiko;35;34;1
Huikuri;484;493;2
Huila;23;23;1
Huilaja;46;47;1
Huilla;81;79;1
Huima;50;50;1
Huimala;22;23;1
Huipero;26;28;1
Huisko;33;34;1
Huiskonen;103;110;2
Huisman;151;151;2
Huissi;28;27;1
Huistinoja;21;21;1
Huitsi;33;34;1
Huittari;21;21;1
Huitti;72;73;1
Huittinen;297;304;2
Huitu;40;40;1
Huitula;100;103;2
Hujakka;35;37;1
Hujala;162;173;2
Hujanen;981;997;2
Hujo;44;44;1
Huju;72;72;1
Hukari;171;172;2
Hukio;0;20;0
Hukka;613;614;2
Hukkamäki;22;23;1
Hukkanen;1305;1324;3
Hukkataival;0;20;0
Hukki;39;40;1
Hukkila;32;34;1
Hukkinen;52;54;1
Hulanmäki;58;56;1
Hulden;26;28;1
Huldén;179;177;2
Huldin;104;106;2
Hulkki;29;30;1
Hulkko;605;607;2
Hulkkonen;1101;1116;3
Hulmi;114;112;2
Hulsi;48;47;1
Hult;286;289;2
Hultgren;25;25;1
Hultholm;56;56;1
Hultin;77;75;1
Hultman;75;74;1
Humala;76;77;1
Humalainen;50;47;1
Humalajoki;546;522;2
Humalamäki;174;172;2
Humalisto;42;45;1
Humaloja;135;134;2
Humell;20;20;1
Humina;47;48;1
Hummastenniemi;67;66;1
Hummasti;94;91;1
Hummel;29;27;1
Hummelholm;32;30;1
Hummelin;54;56;1
Hummelstedt;27;27;1
Humppi;117;115;2
Hunnakko;154;157;2
Hunt;24;24;1
Huntus;74;76;1
Huohvanainen;98;100;1
Huokonen;21;20;1
Huokuna;38;41;1
Huokuniemi;49;49;1
Huolman;301;305;2
Huoman;109;113;2
Huomanen;32;37;1
Huomo;225;233;2
Huomolin;20;0;1
Huopainen;216;218;2
Huopalahti;24;25;1
Huopalainen;187;188;2
Huopana;113;111;2
Huopaniemi;61;61;1
Huopio;36;36;1
Huoponen;234;236;2
Huosianmaa;58;58;1
Huosionmaa;24;27;1
Huoso;56;56;1
Huossa;20;0;1
Huostila;76;77;1
Huotari;3694;3742;3
Huotarinen;165;164;2
Huotelin;32;32;1
Huotilainen;154;156;2
Huotinen;0;21;0
Huovari;86;89;1
Huovelin;22;25;1
Huovi;23;22;1
Huoviala;51;52;1
Huovila;862;868;2
Huovilainen;192;191;2
Huovinen;3424;3466;3
Hupanen;67;67;1
Hupila;23;24;1
Hupli;141;145;2
Hupponen;67;67;1
Huppunen;180;191;2
Hurjanen;32;31;1
Hurmalainen;109;113;2
Hurme;1718;1724;3
Hurmekoski;24;23;1
Hurmeranta;27;27;1
Hurmerinta;345;345;2
Hurmola;26;24;1
Hurnanen;76;77;1
Hurnasti;49;49;1
Hurri;499;507;2
Hurskainen;1255;1254;3
Hurskanen;32;34;1
Hurske;25;24;1
Hursti;213;218;2
Hurtén;23;25;1
Hurtig;342;333;2
Hurtola;36;36;1
Hurtta;159;159;2
Hurttia;49;48;1
Hurttila;66;67;1
Huru;109;111;2
Hurula;117;113;2
Hurvi;27;28;1
Husa;142;141;2
Husari;46;48;1
Husberg;27;27;1
Huseen;53;50;1
Husein;22;20;1
Huseinovic;26;25;1
Husell;56;58;1
Husgafvel;64;65;1
Husman;35;36;1
Hussa;91;91;1
Hussain;124;114;2
Hussaini;44;43;1
Hussein;642;586;2
Husseini;29;0;1
Hussi;116;120;2
Husso;547;549;2
Husu;804;800;2
Hutchinson;20;0;1
Hutka;27;25;1
Hutko;53;52;1
Hutri;207;212;2
Huttu;565;570;2
Huttu-Hiltunen;35;35;1
Huttula;276;278;2
Huttunen;7154;7295;3
Huuha;51;50;1
Huuhanmäki;22;21;1
Huuhilo;80;79;1
Huuhka;534;538;2
Huuhko;57;57;1
Huuho;68;69;1
Huuhtanen;833;837;2
Huuhtiainen;41;42;1
Huuki;263;260;2
Huukkala;38;39;1
Huumarkangas;43;42;1
Huumarsalo;39;38;1
Huumo;86;90;1
Huumonen;277;287;2
Huunanmaa;31;30;1
Huunonen;125;129;2
Huupponen;391;399;2
Huurinainen;340;342;2
Huurne;43;42;1
Huurre;159;160;2
Huurrekorpi;20;20;1
Huurros;24;22;1
Huurtela;27;26;1
Huusari;204;204;2
Huusela;79;81;1
Huuska;167;172;2
Huusko;1846;1835;3
Huuskola;81;83;1
Huuskonen;2303;2341;3
Huusman;0;20;0
Huutola;75;75;1
Huutonen;60;59;1
Huutoniemi;70;70;1
Huvi;26;23;1
Huvila;169;171;2
Huvinen;160;162;2
Huynh;165;154;2
Hvitfelt;31;31;1
Hyde;24;23;1
Hydén;101;102;2
Hyhkö;28;28;1
Hykkyrä;23;23;1
Hykkönen;20;21;1
Hyle;145;148;2
Hylkilä;93;90;1
Hylkinen;27;28;1
Hyllinen;0;20;0
Hymander;31;31;1
Hymylä;26;25;1
Hynell;23;21;1
Hynni;29;31;1
Hynninen;1713;1737;3
Hynnä;167;167;2
Hynnälä;23;21;1
Hynynen;1358;1377;3
Hynönen;187;192;2
Hypén;87;92;1
Hyppänen;299;304;2
Hyppölä;107;106;2
Hyppönen;787;795;2
Hyriäinen;22;22;1
Hyrkkänen;148;147;2
Hyrkkö;39;40;1
Hyrkkönen;24;24;1
Hyrkäs;697;706;2
Hyrri;23;21;1
Hyrske;39;41;1
Hyrsky;101;96;2
Hyrskylahti;33;32;1
Hyrsylä;39;40;1
Hyry;570;553;2
Hyrylä;56;55;1
Hyryläinen;51;51;1
Hyrynkangas;81;84;1
Hyseni;73;68;1
Hyssy;35;35;1
Hyssälä;32;33;1
Hytinkoski;79;79;1
Hytti;470;483;2
Hyttilä;46;49;1
Hyttinen;3648;3711;3
Hytönen;3035;3047;3
Hyväkkä;84;85;1
Hyvälä;20;20;1
Hyvämäki;73;75;1
Hyväoja;31;31;1
Hyväri;642;630;2
Hyvärilä;30;30;1
Hyvärinen;5409;5482;3
Hyvätti;50;49;1
Hyvättinen;83;84;1
Hyvölä;79;79;1
Hyvönen;4751;4816;3
Hyvösaho;21;22;1
Hyykky;20;20;1
Hyykoski;47;50;1
Hyypiä;298;303;2
Hyypiö;68;69;1
Hyyppä;577;582;2
Hyyryläinen;843;860;2
Hyyrynen;302;300;2
Hyyrönmäki;51;51;1
Hyysalo;49;45;1
Hyyti;81;82;1
Hyytinen;557;552;2
Hyytiä;430;439;2
Hyytiäinen;1725;1758;3
Hyytiälä;44;44;1
Hyödynmaa;55;55;1
Hyökki;210;213;2
Hyöky;81;80;1
Hyökyvaara;73;73;1
Hyökyvirta;24;23;1
Hyöppinen;57;60;1
Hyöppönen;23;23;1
Hyörinen;0;20;0
Hyötilä;34;34;1
Hyöty;86;91;1
Hyötylä;202;204;2
Hyötyläinen;212;214;2
Hyötylänmäki;28;28;1
Hyötynen;49;50;1
Hyövelä;22;20;1
Hyövälti;45;45;1
Håkans;224;224;2
Håkansson;56;58;1
Hållfast;65;66;1
Hållman;30;31;1
Hård;81;78;1
Hård af Segerstad;25;23;1
Hårdh;21;21;1
Hägen;47;48;1
Häger;115;110;2
Hägerstrand;28;29;1
Hägerström;49;48;1
Hägert;31;33;1
Hägg;443;448;2
Häggback;33;33;1
Häggblad;53;53;1
Häggblom;1121;1127;3
Häggdahl;45;47;1
Häggkvist;82;81;1
Hägglund;406;405;2
Häggman;631;629;2
Häggqvist;143;141;2
Häggström;174;176;2
Häggvik;48;50;1
Häihälä;30;30;1
Häikiö;359;370;2
Häivälä;228;224;2
Häiväläinen;61;61;1
Häjänen;20;21;1
Häkki;91;96;1
Häkkilä;536;534;2
Häkkinen;4951;5040;3
Häkkä;42;43;1
Häkkänen;343;351;2
Häkli;614;622;2
Häkälä;67;72;1
Häkämies;234;235;2
Häkänen;41;43;1
Häli;39;37;1
Hälikkä;254;267;2
Hälinen;274;291;2
Häll;115;113;2
Hällback;0;20;0
Hällbacka;40;44;1
Hällberg;25;25;1
Hällfors;272;279;2
Hälli;53;53;1
Hällilä;22;22;1
Hällsten;55;58;1
Hällström;216;225;2
Hällund;29;27;1
Hälvä;174;182;2
Häme;91;88;1
Hämeenaho;158;161;2
Hämeen-Anttila;33;32;1
Hämeenheimo;0;20;0
Hämeenkorpi;153;155;2
Hämeenniemi;317;315;2
Hämeenoja;50;52;1
Hämelahti;38;39;1
Hämylä;43;44;1
Hämynen;146;148;2
Hämälistö;24;24;1
Hämälä;101;102;2
Hämäläinen;17747;18026;4
Hämäri;32;33;1
Hämölä;23;23;1
Händelin;20;20;1
Hännikkälä;31;36;1
Hännikäinen;572;577;2
Hänninen;7882;8019;3
Hänti;24;22;1
Häppölä;46;44;1
Härkin;156;156;2
Härkisuo;23;22;1
Härkki;69;68;1
Härkälä;160;158;2
Härkänen;249;254;2
Härkönen;4853;4908;3
Härme;36;36;1
Härmä;1004;1017;3
Härmälä;263;264;2
Härmänmaa;23;22;1
Härmävaara;24;22;1
Härsilä;26;27;1
Härtull;37;38;1
Härus;41;36;1
Härö;312;307;2
Härönen;25;25;1
Hästbacka;266;266;2
Hästö;76;75;1
Häsä;139;143;2
Häsänen;43;42;1
Hätelä;32;33;1
Häti;23;22;1
Hätinen;390;393;2
Hätälä;153;153;2
Hätönen;454;458;2
Häyhtiö;32;32;1
Häyhä;307;313;2
Häyhänen;80;78;1
Häyrinen;903;916;2
Häyry;146;146;2
Häyrynen;651;656;2
Häärä;66;66;1
Häätylä;62;61;1
Höckerstedt;46;45;1
Höckert;55;53;1
Högander;25;26;1
Högback;49;46;1
Högbacka;120;113;2
Högberg;144;146;2
Högbäck;27;27;1
Högdahl;52;51;1
Högel;29;30;1
Högerman;23;24;1
Högfors;56;51;1
Högholm;23;25;1
Högkvist;24;22;1
Höglund;969;974;2
Högman;157;158;2
Högmander;47;47;1
Högnabba;94;96;1
Högnäs;98;99;1
Högnäsbacka;0;20;0
Högstedt;20;0;1
Högström;325;324;2
Höijer;169;171;2
Hökkä;162;158;2
Hölli;123;121;2
Hölsä;200;204;2
Hölsö;150;151;2
Hölsömäki;56;56;1
Hölttä;765;782;2
Hömmö;38;38;1
Hömppi;70;72;1
Hönö;20;21;1
Hörhammer;33;36;1
Höri;53;54;1
Hörkkä;24;25;1
Hörkkö;493;502;2
Hörman;51;51;1
Höstman;67;69;1
Hötti;23;23;1
Höyden;30;29;1
Höyhtyä;234;234;2
Höykinpuro;163;161;2
Höylä;135;135;2
Höylänen;38;38;1
Höynälä;94;93;1
Höysniemi;65;65;1
Höyssä;30;30;1
Höysti;24;24;1
Höytö;25;24;1
Höök;256;263;2
Hööpakka;36;34;1
Ibishi;39;31;1
Ibrahim;517;462;2
Ibrahimi;69;60;1
Id;97;100;1
Idman;168;163;2
Idström;126;127;2
Idänpirtti;31;31;1
Ignatius;457;452;2
Igonen;30;31;1
Ihainen;44;43;1
Ihajärvi;36;33;1
Ihaksi;68;67;1
Ihaksinen;29;28;1
Ihala;52;53;1
Ihalainen;2092;2111;3
Ihalempiä;24;24;1
Ihalmo;33;29;1
Ihamuotila;50;51;1
Ihamäki;475;484;2
Ihanainen;130;133;2
Ihanajärvi;28;28;1
Ihanamäki;217;221;2
Ihander;126;128;2
Ihaniemi;20;0;1
Ihanmäki;34;34;1
Ihantoja;24;24;1
Ihantola;96;95;1
Ihanus;275;278;2
Ihatsu;225;224;2
Ihlberg;28;27;1
Ihme;120;116;2
Iho;95;96;1
Ihonen;195;195;2
Iihola;25;26;1
Iijalainen;26;26;1
Iijolainen;31;31;1
Iikkanen;91;94;1
Iikkola;24;24;1
Iiliäinen;41;42;1
Iilomo;24;25;1
Iinatti;133;135;2
Iinattiniemi;47;47;1
Iiponen;23;25;1
Iirola;41;41;1
Iisakka;209;209;2
Iisakkala;88;89;1
Iisakkila;61;62;1
Iisalo;67;71;1
Iiskola;203;211;2
Iisvirta;0;20;0
Iitiä;30;31;1
Iitti;99;98;1
Iittiläinen;56;58;1
Iivanainen;502;512;2
Iivari;416;425;2
Iivarinen;394;398;2
Iivonen;1392;1394;3
Ijas;62;64;1
Ijäs;1037;1043;3
Ikala;22;24;1
Ikeda;20;0;1
Ikkala;265;269;2
Ikkelä;38;37;1
Ikkeläjärvi;20;20;1
Ikola;683;680;2
Ikonen;7183;7250;3
Ikäheimo;599;613;2
Ikäheimonen;496;501;2
Ikäkoivu;0;20;0
Ikäläinen;424;432;2
Ikävalko;942;950;2
Ilama;22;22;1
Ilander;159;163;2
Ilén;70;71;1
Iles;23;21;1
Ilina;30;32;1
Iljamo;24;24;1
Iljana;36;35;1
Iljin;157;161;2
Iljina;20;21;1
Ilkka;386;392;2
Ilkko;106;103;2
Illberg;0;21;0
Illi;141;144;2
Illikainen;774;769;2
Illman;291;287;2
Illukka;98;100;1
Ilmakangas;45;45;1
Ilmakari;21;22;1
Ilmalahti;24;24;1
Ilmanen;238;244;2
Ilmaniemi;22;22;1
Ilmaranta;25;23;1
Ilmari;32;32;1
Ilmarinen;287;281;2
Ilmasti;135;136;2
Ilmavirta;54;52;1
Ilmén;59;58;1
Ilmivalta;34;35;1
Ilmola;152;150;2
Ilmolahti;32;33;1
Ilmonen;567;573;2
Ilmoni;58;62;1
Ilmoniemi;101;102;2
Ilmonius;27;27;1
Ilo;153;157;2
Ilola;770;782;2
Ilomäki;1126;1127;3
Ilonen;565;561;2
Iloniemi;58;58;1
Iloranta;33;33;1
Ilosalo;47;47;1
Iloviita;20;20;1
Ilovuori;0;20;0
Ilpala;31;31;1
Iltanen;471;473;2
Iltola;53;51;1
Ilus;27;25;1
Ilva;43;44;1
Ilves;577;574;2
Ilvesaho;42;41;1
Ilveskero;21;22;1
Ilveskoski;64;63;1
Ilvesluoto;115;113;2
Ilvesmäki;78;85;1
Ilvesniemi;53;51;1
Ilvesoksa;28;28;1
Ilvespakka;27;27;1
Ilvessalo;29;30;1
Ilvessuo;25;26;1
Ilvesviita;38;39;1
Ilvonen;948;952;2
Ilvonsalo;35;35;1
Iman;26;26;1
Imberg;54;52;1
Imeläinen;74;75;1
Imeri;23;21;1
Immanen;49;48;1
Immilä;0;21;0
Immo;30;32;1
Immonen;6414;6501;3
Impilä;54;57;1
Impivaara;84;83;1
Impiö;384;386;2
Impola;559;555;2
Imponen;159;165;2
Imppola;69;70;1
Impponen;22;23;1
Imppu;32;35;1
Imran;28;24;1
Inberg;224;227;2
Inborr;23;23;1
Indola;38;40;1
Indrén;41;43;1
Inermo;30;28;1
Ingalsuo;95;94;1
Ingberg;154;152;2
Ingelin;68;69;1
Ingelius;26;26;1
Ingels;20;0;1
Ingers;20;20;1
Ingerström;42;41;1
Ingerttilä;27;28;1
Ingervo;43;42;1
Ingerö;27;28;1
Inget;124;126;2
Ingi;26;26;1
Ingman;616;616;2
Ingo;83;81;1
Ingraeus;26;26;1
Ingram;22;21;1
Ingström;121;122;2
Ingves;176;182;2
Inha;115;120;2
Inhilä;20;20;1
Inkala;232;237;2
Inkamo;21;21;1
Inkari;21;21;1
Inkeri;106;104;2
Inkeroinen;634;624;2
Inkerö;71;69;1
Inkeröinen;162;162;2
Inki;108;109;2
Inkilä;388;395;2
Inkiläinen;304;306;2
Inkinen;1701;1725;3
Inkovaara;30;30;1
Inna;82;81;1
Innala;112;115;2
Innamaa;32;32;1
Innanen;562;580;2
Innanmaa;37;35;1
Innilä;75;76;1
Innola;30;30;1
Inola;33;31;1
Inomaa;33;33;1
Inoranta;21;22;1
Inovaara;28;27;1
Intke;83;78;1
Into;144;143;2
Intonen;149;148;2
Intovuori;0;21;0
Invenius;52;52;1
Ioannou;27;25;1
Ipatti;90;91;1
Iqbal;39;35;1
Irjala;109;116;2
Irmola;23;23;1
Irri;100;103;2
Irva;25;21;1
Irvankoski;38;36;1
Isakas;39;37;1
Isakoff;20;20;1
Isakov;23;24;1
Isaksson;859;876;2
Isberg;287;287;2
Isbom;21;20;1
Isik;28;25;1
Iskala;108;107;2
Iskanius;176;171;2
Iskulehto;41;41;1
Islam;148;125;2
Islami;20;0;1
Islander;62;59;1
Ismael;32;29;1
Ismail;312;286;2
Ismaili;22;0;1
Ismälä;25;28;1
Isoahde;28;27;1
Isoaho;858;868;2
Iso-Aho;41;41;1
Iso-Ahola;68;70;1
Iso-Antila;20;20;1
Iso-Anttila;23;22;1
Isoeskeli;0;20;0
Isohaka;27;28;1
Isohanni;263;264;2
Isoheiko;45;47;1
Iso-Heiko;39;38;1
Iso-Heiniemi;67;70;1
Isohella;68;67;1
Isoherranen;117;119;2
Iso-Herttua;37;37;1
Iso-Hirvelä;20;0;1
Isohookana;33;32;1
Isohuhta;27;28;1
Isohätälä;72;73;1
Iso-Ilomäki;31;31;1
Isojoki;29;30;1
Iso-Junno;54;48;1
Isojämsä;50;51;1
Iso-Järvenpää;40;40;1
Isojärvi;308;313;2
Isokallio;136;131;2
Iso-Kamula;20;20;1
Isokangas;585;578;2
Isoketo;41;39;1
Isokivelä;24;24;1
Isokivi;29;30;1
Isokivijärvi;55;56;1
Iso-Koivisto;71;73;1
Isokorpi;137;137;2
Isokoski;457;463;2
Isokotamäki;24;24;1
Iso-Kouvola;46;45;1
Iso-Kungas;60;62;1
Isokuortti;43;44;1
Iso-Kuortti;30;31;1
Iso-Kuusela;47;47;1
Isokytö;35;35;1
Isokääntä;493;486;2
Isola;473;487;2
Isolauri;29;29;1
Isolehto;45;47;1
Isoluoma;61;60;1
Isomaa;335;331;2
Iso-Markku;85;83;1
Isometsä;262;258;2
Isomettä;20;0;1
Isomursu;81;89;1
Iso-Mustajärvi;46;45;1
Isomäki;891;905;2
Isomöttönen;49;48;1
Iso-Möttönen;21;22;1
Isoniemi;548;551;2
Isonikkilä;27;28;1
Iso-oja;78;78;1
Iso-Oja;35;78;1
Isopahkala;526;512;2
Iso-Pietilä;48;49;1
Isopoussu;135;143;2
Isopuro;25;25;1
Iso-Pärnä;27;28;1
Isoranta;94;92;1
Isorinne;47;45;1
Isosaari;247;244;2
Isosalo;150;151;2
Iso-Seppälä;22;22;1
Isosomppi;210;212;2
Isosävi;37;36;1
Isotahdon;42;41;1
Isotalo;1321;1326;3
Isotalus;176;172;2
Iso-Tryykäri;26;28;1
Iso-Tuisku;62;60;1
Isotupa;160;163;2
Isoviita;307;310;2
Isrikki;38;37;1
Issa;51;48;1
Issakainen;709;723;2
Issakoff;26;22;1
Isse;67;60;1
Issukka;37;32;1
Ista;26;27;1
Isteri;46;46;1
Istermaa;28;29;1
Isto;65;66;1
Istolahti;48;46;1
Istolainen;66;65;1
Istukaissaari;42;42;1
Isufi;21;0;1
Isuls;0;20;0
Isännäinen;38;38;1
Itkonen;1629;1654;3
Ittonen;24;25;1
Itä;24;24;1
Itäaho;35;36;1
Itäjärvi;21;21;1
Itäkylä;22;23;1
Itälaakso;21;21;1
Itälahti;29;30;1
Itälehto;26;26;1
Itälinna;36;39;1
Itäluoma;62;62;1
Itäluoto;35;32;1
Itälä;109;107;2
Itämetsä;24;26;1
Itämies;22;22;1
Itämäki;76;77;1
Itänen;89;90;1
Itäniemi;105;104;2
Itäpalo;29;28;1
Itäpelto;0;21;0
Itäpää;30;29;1
Itäranta;59;59;1
Itäsaari;32;30;1
Itäsalo;34;35;1
Itätalo;25;24;1
Itävaara;31;32;1
Itävuori;35;36;1
Ivakko;55;58;1
Ivalo;24;25;1
Ivanoff;189;188;2
Ivanov;152;141;2
Ivanova;149;136;2
Ivars;121;126;2
Ivaska;74;70;1
Iversen;21;20;1
Ivonen;31;32;1
Jaakkola;4720;4795;3
Jaakkonen;293;295;2
Jaakkosela;34;34;1
Jaako;341;349;2
Jaakola;1403;1390;3
Jaakola-Siimes;26;24;1
Jaakonaho;192;195;2
Jaakonmäki;33;34;1
Jaakonsaari;272;271;2
Jaaksi;91;89;1
Jaaksola;23;25;1
Jaala;94;97;1
Jaamala;0;20;0
Jaanu;101;103;2
Jaanus;28;28;1
Jaara;363;364;2
Jaaranen;99;106;1
Jaari;0;20;0
Jaarinen;55;55;1
Jaarola;20;20;1
Jaatinen;2587;2637;3
Jaavamo;21;22;1
Jaber;23;20;1
Jacklin;42;45;1
Jacksen;44;44;1
Jackson;86;83;1
Jacob;21;20;1
Jacobs;22;21;1
Jacobsen;43;46;1
Jacobson;82;82;1
Jacobsson;82;84;1
Jafari;91;61;1
Jahkola;72;70;1
Jahkonen;36;36;1
Jahn;67;67;1
Jahnsson;108;105;2
Jahnukainen;62;66;1
Jaiteh;21;0;1
Jakala;25;26;1
Jakara;20;21;1
Jakas;30;29;1
Jakka;46;46;1
Jakkila;54;59;1
Jakku;146;147;2
Jakkula;88;87;1
Jakobsen;28;26;1
Jakobsson;785;792;2
Jakola;198;204;2
Jakonen;485;487;2
Jakosuo;38;39;1
Jakovlev;36;37;1
Jakovleva;22;21;1
Jakovuori;22;22;1
Jakunaho;33;35;1
Jakupovic;47;46;1
Jalal;36;29;1
Jalamo;36;36;1
Jalander;43;44;1
Jalanne;21;22;1
Jalarvo;32;31;1
Jalas;77;77;1
Jalasaho;52;50;1
Jalasjoki;45;46;1
Jalaskoski;54;55;1
Jalasmäki;33;29;1
Jalasto;39;39;1
Jalasvaara;20;21;1
Jalasvirta;31;32;1
Jalava;1150;1164;3
Jalavikko;20;20;1
Jalkala;36;36;1
Jalkanen;1394;1417;3
Jalli;198;199;2
Jallinoja;26;27;1
Jallow;120;108;2
Jalo;633;631;2
Jalola;0;20;0
Jalomäki;79;78;1
Jalonen;2945;2987;3
Jaloniemi;25;25;1
Jalopaasi;20;21;1
Jalova;26;26;1
Jalovaara;207;213;2
Jalvanti;30;28;1
Jama;421;400;2
Jamalainen;42;43;1
James;59;54;1
Jamil;32;30;1
Jammeh;68;63;1
Janakka;33;35;1
Janatuinen;248;251;2
Janger;115;115;2
Janhonen;494;506;2
Janhu;21;22;1
Janhunen;1179;1197;3
Janka;21;20;1
Jankens;24;24;1
Jankeri;22;21;1
Jankkari;36;37;1
Jankkila;88;90;1
Janné;0;20;0
Jansa;44;43;1
Jansen;67;67;1
Jansén;111;111;2
Janson;46;44;1
Janssen;25;24;1
Jansson;2894;2929;3
Jantola;20;21;1
Janttonen;76;76;1
Jantunen;1746;1767;3
Japola;28;28;1
Jarho;29;30;1
Jarju;24;24;1
Jarkko;145;148;2
Jarmas;25;25;1
Jaronen;57;59;1
Jarske;55;55;1
Jartti;75;75;1
Jarva;496;501;2
Jarvanne;20;20;1
Jarvansalo;97;94;1
Jarvis;26;24;1
Jashari;54;53;1
Jasim;27;22;1
Jaskanen;37;39;1
Jaskara;50;49;1
Jaskari;626;631;2
Jaskio;26;25;1
Jasmavaara;22;22;1
Jassu;24;25;1
Jasu;48;47;1
Jatala;33;36;1
Jatila;22;21;1
Jatkola;158;161;2
Jatta;42;40;1
Jattu;45;45;1
Jatuli;32;32;1
Jauhanen;53;52;1
Jauhiainen;2551;2590;3
Jauho;222;230;2
Jauhojärvi;150;153;2
Jauhola;132;133;2
Jauhonen;90;88;1
Jaukka;47;46;1
Jaukkari;31;32;1
Jaukkuri;90;90;1
Jauni;20;20;1
Jaurakkajärvi;78;78;1
Javanainen;610;620;2
Javarus;92;92;1
Javén;21;23;1
Jefimoff;28;28;1
Jefremoff;69;70;1
Jegoroff;30;29;1
Jehimoff;34;33;1
Jehkinen;40;39;1
Jehkonen;140;142;2
Jekkonen;87;87;1
Jekunen;42;42;1
Jelekäinen;75;77;1
Jelkänen;72;74;1
Jelonen;63;62;1
Jeminen;29;31;1
Jenkins;55;48;1
Jensen;294;292;2
Jensén;52;52;1
Jenu;54;54;1
Jerkku;177;180;2
Jermoranta;28;28;1
Jern;86;88;1
Jernberg;63;61;1
Jernfors;34;35;1
Jernman;24;24;1
Jernmark;43;41;1
Jernström;138;144;2
Jernvall;45;46;1
Jerohin;30;30;1
Jeromaa;31;31;1
Jeronen;55;54;1
