Etunimi;Lkm 2023;Lkm 2021;Yleisyysluokka
Emmaliisa;11;11;1
Emma-Liisa;38;38;1
Emma-Lina;6;6;0
Emmalotta;19;18;1
Emma-Lotta;90;90;1
Emma-Maaria;8;8;0
Emma-Maria;48;48;1
Emma-Noora;12;13;1
Emmanuel;11;10;1
Emmanuela;14;13;1
Emmanuella;16;10;1
Emmanuelle;31;27;1
Emma-Olivia;6;6;0
Emma-Pauliina;7;7;0
Emma-Reeta;5;5;0
Emma-Reetta;15;15;1
Emmariikka;8;8;0
Emma-Riikka;19;19;1
Emmariina;7;7;0
Emma-Riina;10;10;1
Emma-Roosa;13;12;1
Emma-Sofia;106;104;2
Emmastiina;19;19;1
Emma-Stiina;7;7;0
Emma-Tuulia;6;6;0
Emme;10;7;1
Emmeli;11;11;1
Emmelie;40;39;1
Emmeliina;13;13;1
Emmelina;7;7;0
Emmeline;18;16;1
Emmi;10050;9999;4
Emmi-Annika;5;5;0
Emmie;31;30;1
Emmi-Elina;9;9;0
Emmi-Emilia;6;6;0
Emmi-Ilona;8;9;0
Emmiina;685;672;2
Emmi-Inkeri;6;6;0
Emmi-Julia;22;22;1
Emmi-Juulia;7;7;0
Emmi-Kaisa;28;28;1
Emmi-Karoliina;11;11;1
Emmi-Leena;18;18;1
Emmiliina;10;10;1
Emmi-Liina;11;12;1
Emmi-Liisa;8;8;0
Emmilotta;18;18;1
Emmi-Lotta;89;90;1
Emmi-Maaria;9;9;0
Emmi-Maria;55;55;1
Emmina;7;7;0
Emminoora;6;7;0
Emmi-Noora;27;27;1
Emmi-Pauliina;5;5;0
Emmi-Reeta;5;5;0
Emmi-Reetta;8;8;0
Emmi-Riikka;18;18;1
Emmi-Riina;9;9;0
Emmi-Roosa;6;6;0
Emmi-Sofia;71;69;1
Emmy;249;243;2
Emna;6;5;0
Emppu;5;0;0
Emriikka;13;13;1
Emy;9;9;0
Ena;21;19;1
Enara;5;5;0
Enas;6;0;0
Endla;5;5;0
Ene;36;33;1
Enea;18;16;1
Eneken;5;0;0
Eneli;9;7;0
Enesa;5;0;0
Engeliina;13;13;1
Engla;138;128;2
Eni;8;8;0
Enia;56;53;1
Enid;22;23;1
Enikö;7;7;0
Eniola;11;9;1
Enisa;15;13;1
Enissa;6;6;0
Enja;151;146;2
Enkeli;8;8;0
Enla;5;5;0
Enna;1551;1421;3
Enna-Liina;5;5;0
Enna-Maria;5;5;0
Enna-Sofia;9;8;0
Enne;147;142;2
Ennea;9;10;0
Enneli;37;36;1
Enneliisa;0;5;0
Enne-Liisa;24;24;1
Enni;6622;6247;3
Ennie;10;9;1
Enni-Ilona;5;5;0
Enniina;41;38;1
Ennika;23;22;1
Enni-Kaisa;5;5;0
Enni-Liisa;7;8;0
Enni-Lotta;13;13;1
Enni-Maija;12;11;1
Enni-Mari;6;6;0
Ennimaria;6;6;0
Enni-Maria;36;35;1
Enni-Olivia;5;5;0
Enni-Sofia;23;21;1
Ennu;5;5;0
Enny;23;24;1
Enrica;20;18;1
Enriikka;8;8;0
Enrika;19;20;1
Ensi;94;106;1
Ensilumi;6;6;0
Enya;111;100;2
Eowyn;5;0;0
Epp;8;8;0
Eppu;16;15;1
Era;18;17;1
Erda;12;12;1
Eri;7;6;0
Eric;5;0;0
Erica;2026;2004;3
Ericka;6;6;0
Ericsdotter;5;6;0
Eriika;574;586;2
Eriikka;318;325;2
Erik;14;0;1
Erika;9702;9599;3
Erikintytär;5;0;0
Erikka;38;38;1
Eriksdotter;19;20;1
Erin;1552;1441;3
Erina;55;51;1
Erinna;6;6;0
Eris;11;8;1
Erisa;7;7;0
Erita;10;10;1
Erja;5660;5713;3
Erja-Leena;37;38;1
Erja-Liisa;59;59;1
Erja-Maija;8;8;0
Erja-Riitta;40;40;1
Erja-Sisko;7;7;0
Erjona;12;10;1
Erkintytär;37;35;1
Erla;15;15;1
Erlinda;10;10;1
Erma;0;5;0
Ermina;6;5;0
Ermira;9;9;0
Erna;343;360;2
Ernestine;22;23;1
Erona;5;5;0
Ertta;15;14;1
Erva;14;14;1
Ervi;0;5;0
Erza;23;20;1
Erzsébet;9;9;0
Esaias;5;0;0
Esantytär;39;40;1
Ese;6;5;0
Esenia;7;7;0
Eshal;6;0;0
Esi;10;9;1
Esikko;24;24;1
Esila;5;0;0
Esin;8;8;0
Esja;5;0;0
Eskontytär;19;19;1
Eslem;11;10;1
Esma;70;63;1
Esmat;5;6;0
Esme;113;81;2
Esmee;5;0;0
Esmée;5;0;0
Esmer;6;5;0
Esmeralda;273;243;2
Esmeray;6;6;0
Esmi;10;7;1
Esosa;10;10;1
Esperance;6;6;0
Esperanza;32;28;1
Esra;92;78;1
Esraa;8;7;0
Essa;8;7;0
Essi;7189;7174;3
Essia;5;5;0
Essie;10;11;1
Essi-Elina;6;6;0
Essi-Emilia;16;16;1
Essi-Ilona;6;6;0
Essiina;16;16;1
Essi-Leena;5;5;0
Essi-Lotta;13;13;1
Essi-Mari;9;9;0
Essi-Maria;52;52;1
Essi-Noora;8;8;0
Essi-Sofia;7;7;0
Essi-Tuulia;5;5;0
Essu;6;6;0
Esta;7;6;0
Estefania;10;9;1
Estel;50;32;1
Estela;12;11;1
Estell;7;6;0
Estella;278;260;2
Estelle;574;458;2
Ester;4691;4845;3
Estera;5;5;0
Esteri;6218;6696;3
Esteriina;46;44;1
Esther;433;401;2
Esti;24;24;1
Estrella;9;9;0
Estrid;158;167;2
Eszter;25;24;1
Etel;209;244;2
Etelka;8;8;0
Ethel;330;326;2
Etla;7;6;0
Etna;26;24;1
Etsiina;5;5;0
Etta;113;100;2
Etti;68;69;1
Etty;8;7;0
Eudokia;19;17;1
Eufemia;179;169;2
Eufemiia;5;5;0
Eufrosiina;7;7;0
Eufrosyne;97;96;1
Eufrosyyne;9;9;0
Eugenia;102;105;2
Eugenie;35;36;1
Eugénie;10;10;1
Eulaalia;15;15;1
Eulalia;28;25;1
Eunice;53;50;1
Euniika;6;5;0
Eunika;7;6;0
Eunike;5;5;0
Eva;6447;6347;3
Éva;18;16;1
Eva-Brita;5;6;0
Eva-Britt;14;13;1
Eva-Christina;14;14;1
Eva-Christine;5;5;0
Eva-Helena;11;12;1
Eva-Johanna;8;8;0
Eva-Kaarina;37;37;1
Eva-Kaisa;11;11;1
Eva-Karin;9;9;0
Eva-Katarina;5;5;0
Eva-Kristiina;8;8;0
Eva-Kristina;13;14;1
Eva-Leena;15;15;1
Eva-Lena;32;32;1
Evaliina;5;0;0
Eva-Liisa;146;152;2
Eva-Lis;9;9;0
Eva-Lisa;69;70;1
Eva-Lotta;61;62;1
Eva-Lotte;6;6;0
Eva-Maaria;5;5;0
Eva-Maarit;5;5;0
Eva-Maija;36;38;1
Eva-Maj;10;10;1
Eva-Mari;22;22;1
Evamaria;18;18;1
Eva-Maria;324;324;2
Eva-Marie;48;48;1
Eva-Marja;14;14;1
Eva-Marjatta;5;5;0
Evan;5;0;0
Evana;5;0;0
Evangelia;25;23;1
Evangelina;20;19;1
Evangeline;31;27;1
Evanna;17;16;1
Eva-Riitta;17;18;1
Eva-Sofia;10;10;1
Evastiina;22;21;1
Eva-Stiina;9;9;0
Evastina;17;17;1
Eva-Stina;72;73;1
Evdokia;6;5;0
Eve;677;640;2
Evea;12;10;1
Eveli;13;13;1
Evelia;467;350;2
Evelie;5;0;0
Eveliia;8;8;0
Eveliina;28119;27619;4
Eve-Liina;7;7;0
Eveliisa;8;8;0
Evelin;575;430;2
Evelina;1476;1335;3
Eveline;96;90;1
Evella;41;33;1
Evely;10;11;1
Evelyn;523;447;2
Evelyne;16;14;1
Eve-Maria;10;10;1
Evena;75;70;1
Everiina;12;12;1
Evette;8;6;0
Evgenia;145;138;2
Evgeniia;39;28;1
Evgenija;20;20;1
Evgeniya;20;19;1
Evguenia;20;19;1
Evi;329;324;2
Evia;52;41;1
Evian;28;23;1
Evianna;25;22;1
Evida;5;0;0
Evie;43;35;1
Evilda;17;16;1
Evilla;13;11;1
Evin;67;57;1
Evina;12;9;1
Evita;366;353;2
Evjen;5;5;0
Evy;100;95;2
Ewa;147;140;2
Ewa-Maria;5;5;0
Ewe;5;6;0
Eweliina;11;12;1
Ewelina;20;17;1
Ewelyn;5;5;0
Ewy;6;6;0
Exenia;22;22;1
Eyla;5;0;0
Eylem;7;7;0
Eylül;19;18;1
Eyvor;36;38;1
Ezgi;7;7;0
Ezinne;5;5;0
F;7;7;0
F.;8;7;0
Faadumo;34;31;1
Faarah;12;11;1
Fabiana;13;12;1
Fabienne;12;11;1
Fabiola;15;15;1
Fadel;6;5;0
Fadhil;16;12;1
Fadia;8;7;0
Fadila;7;7;0
Fadima;7;6;0
Faduma;28;28;1
Fadumo;180;172;2
Fadwa;5;5;0
Fae;5;0;0
Fahad;13;11;1
Fahdi;5;5;0
Fahima;14;12;1
Fahimeh;6;6;0
Fahma;5;0;0
Fahmida;6;0;0
Fahmo;14;14;1
Fahrije;6;5;0
Faina;49;48;1
Faine;6;6;0
Fairouz;5;0;0
Faisa;45;38;1
Faisal;34;32;1
Faiso;8;7;0
Faith;66;59;1
Faiza;31;28;1
Faize;7;7;0
Fakher;14;12;1
Faleh;7;6;0
Falis;5;0;0
Familia;13;14;1
Fan;10;10;1
Fang;11;11;1
Fani;6;6;0
Fanni;2694;2616;3
Fannie;11;11;1
Fanniina;17;16;1
Fanni-Lotta;8;7;0
Fanni-Maria;9;9;0
Fanni-Sofia;18;18;1
Fanny;2897;2879;3
Fanny-Maria;17;18;1
Fanny-Sofia;7;7;0
Farah;161;143;2
Farahnaz;13;13;1
Faraj;10;8;1
Faranak;6;6;0
Fardowsa;44;43;1
Fardowso;12;10;1
Fardus;8;7;0
Farduus;5;5;0
Farhaan;5;0;0
Farhan;22;20;1
Farhana;16;13;1
Farhat;8;8;0
Farhia;51;49;1
Farhio;17;16;1
Farhiya;16;15;1
Farhiyo;33;27;1
Faria;6;6;0
Fariba;22;18;1
Farida;47;47;1
Farideh;11;11;1
Fariha;9;5;0
Farima;6;0;0
Farina;29;28;1
Farjana;6;0;0
Farnaz;6;0;0
Farrah;9;8;0
Fartun;41;37;1
Fartuun;20;15;1
Farxiyo;5;5;0
Farzana;19;17;1
Farzaneh;10;10;1
Fatah;5;5;0
Fatbardha;6;6;0
Fatema;45;43;1
Fatemah;10;8;1
Fateme;12;10;1
Fatemeh;66;60;1
Fatha;5;5;0
Fathi;15;14;1
Fathia;5;5;0
Fathima;8;5;0
Fathiya;5;0;0
Fatiha;13;10;1
Fatima;496;435;2
Fatimah;27;20;1
Fatime;23;20;1
Fatjona;5;5;0
Fatma;110;104;2
Fatme;11;11;1
Fatmire;25;24;1
Fatna;7;7;0
Fatnan;5;5;0
Fatou;51;52;1
Fatoumata;15;12;1
Fatuma;16;13;1
Faustina;10;8;1
Favor;6;6;0
Favour;15;9;1
Fawzia;9;7;0
Fay;42;37;1
Fayak;5;5;0
Faye;36;32;1
Faysal;12;11;1
Fazile;7;7;0
Fe;9;6;0
Febe;24;23;1
Federica;19;17;1
Fedosia;8;7;0
Fee;6;5;0
Feelia;17;16;1
Fei;24;23;1
Felia;13;14;1
Felice;14;14;1
Felicia;1147;1097;3
Felicitas;12;10;1
Felicity;20;17;1
Felina;6;6;0
Felisa;7;6;0
Felisia;14;12;1
Felissa;5;5;0
Felix;13;0;1
Felizia;7;6;0
Femmi;10;10;1
Fen;12;11;1
Fenella;7;7;0
Feng;7;7;0
Fenja;13;10;1
Feodora;13;11;1
Feodosia;18;14;1
Ferdane;8;7;0
Fereshta;7;7;0
Fereshte;5;5;0
Fereshteh;20;19;1
Feria;5;5;0
Feride;22;22;1
Fernanda;42;36;1
Feroza;5;5;0
Feryal;7;6;0
Feven;7;6;0
Fevronia;5;0;0
Fia;261;251;2
Fia-Maria;6;6;0
Fianna;13;12;1
Fidan;9;9;0
Fiia;633;607;2
Fiia-Maria;10;10;1
Fiida;5;0;0
Fiija;5;5;0
Fiina;167;155;2
Fiinu;62;61;1
Fikrije;8;8;0
Filipa;6;5;0
Filippa;409;384;2
Filiz;17;17;1
Filomena;14;13;1
Filsan;17;16;1
Fina;17;15;1
Finja;16;14;1
Finley;5;0;0
Finn;5;0;0
Fiona;1402;1215;3
Fiorella;14;11;1
Firas;7;5;0
Firdaus;7;6;0
Fitore;18;17;1
Fjolla;13;13;1
Flavia;9;8;0
Fleur;11;11;1
Floora;25;23;1
Flor;9;8;0
Flora;107;95;2
Flordeliza;6;5;0
Flore;5;5;0
Florence;131;120;2
Florencia;18;17;1
Florensia;5;5;0
Florentina;26;25;1
Florije;8;8;0
Florina;8;7;0
Florinda;5;5;0
Folasade;7;7;0
Folashade;9;7;0
Fong;7;7;0
Foos;8;7;0
Forouzan;5;0;0
Fotini;7;7;0
Fouad;11;11;1
Fouzia;7;7;0
Fowsia;12;12;1
Fowsiya;5;5;0
Fowzia;6;6;0
Fozia;6;6;0
France;7;7;0
Frances;94;85;1
Francesca;174;166;2
Franceska;11;11;1
Francilia;18;17;1
Francina;7;7;0
Francine;30;28;1
Francis;8;7;0
Francisca;39;39;1
Franciska;38;39;1
Francoise;16;17;1
Françoise;12;12;1
Franksdotter;12;11;1
Franselia;7;7;0
Fransesca;11;11;1
Franseska;9;10;0
Fransiina;128;126;2
Fransilia;46;46;1
Fransilja;20;20;1
Fransina;34;35;1
Fransisca;16;16;1
Fransiska;42;41;1
Franziska;63;61;1
Frea;5;5;0
Freda;5;0;0
Frederica;9;9;0
Frederiikka;6;6;0
Frederika;42;42;1
Frederike;6;6;0
Fredrica;61;58;1
Fredriika;107;108;2
Fredriikka;114;110;2
Fredrika;1291;1263;3
Fredriksdotter;23;21;1
Freesia;6;5;0
Freia;46;29;1
Freija;106;84;2
Freja;409;373;2
Freya;305;211;2
Freyja;40;29;1
Fria;13;11;1
Frida;2410;2073;3
Frida-Maria;11;11;1
Frideborg;36;37;1
Frieda;17;15;1
Friederike;14;14;1
Friia;18;17;1
Friida;190;159;2
Fu;16;16;1
Fuaad;13;12;1
Fuad;21;21;1
Funda;9;9;0
Furaha;8;6;0
Gabi;6;0;0
Gabriel;18;8;1
Gabriela;450;417;2
Gabriele;25;22;1
Gabriella;780;751;2
Gabrielle;100;96;2
Gaby;6;6;0
Gaelle;8;6;0
Gaëlle;7;7;0
Gaia;45;36;1
Gail;12;12;1
Gala;6;6;0
Galad;5;0;0
Galadriel;11;11;1
Galia;5;5;0
Galina;602;576;2
Galyna;13;12;1
Gamze;10;10;1
Ganga;9;9;0
Ganimete;15;13;1
Ganna;13;11;1
Garina;5;5;0
Garita;29;28;1
Gauri;7;6;0
Gay;10;9;1
Gea;55;55;1
Geeta;7;7;0
Gemina;8;6;0
Gemma;22;22;1
Genet;8;7;0
Genevieve;13;11;1
Geneviève;6;6;0
Genia;10;8;1
Gennadjevna;10;10;1
Genoveva;7;7;0
Gentiana;14;12;1
Georgeta;5;0;0
Georgette;12;10;1
Georgia;34;32;1
Georgiana;9;8;0
Georgieva;14;13;1
Georgievna;8;7;0
Georgina;65;61;1
Georgine;8;7;0
Geraldine;38;36;1
Gerd;326;334;2
Gerda;185;201;2
Gergana;10;9;1
Gerli;14;13;1
Germaine;10;10;1
Gerta;8;8;0
Gertrud;275;305;2
Gertrude;17;17;1
Ghada;7;0;0
Ghalib;11;10;1
Ghazal;14;11;1
Ghazi;8;5;0
Ghislaine;10;8;1
Ghita;117;117;2
Gia;88;83;1
Giada;14;13;1
Giana;5;0;0
Giang;25;23;1
Gianna;19;17;1
Giau;6;6;0
Gift;6;5;0
Gifty;6;6;0
Gigi;9;8;0
Giia;13;11;1
Gila;8;8;0
Gilda;24;23;1
Gillian;17;16;1
Gina;89;87;1
Ginger;6;6;0
Giorgia;5;5;0
Giovanna;36;34;1
Gisela;158;155;2
Gisele;17;16;1
Gisèle;6;6;0
Gisella;33;33;1
Giselle;36;34;1
Gita;55;53;1
Githa;18;18;1
Gitta;89;91;1
Gittan;7;7;0
Gitte;79;79;1
Giulia;41;39;1
Giuseppina;9;9;0
Gizem;13;12;1
Gladis;5;6;0
Gladys;43;42;1
Glafiira;5;0;0
Glena;5;5;0
Glenda;13;13;1
Gloria;154;136;2
Glory;21;19;1
Gohar;6;6;0
Golaleh;5;5;0
Golda;7;6;0
Golde;7;7;0
Golnaz;5;0;0
Gona;5;5;0
Gordana;5;0;0
Grace;399;362;2
Gracia;16;16;1
Graciela;17;13;1
Gráinne;5;5;0
Grazia;11;10;1
Graziella;11;11;1
Grazyna;19;18;1
Greeta;58;58;1
Greete;8;7;0
Greetta;123;126;2
Gresa;21;21;1
Greta;1431;1436;3
Greta-Lisa;6;7;0
Greta-Sofia;5;5;0
Gretchen;12;12;1
Grete;31;29;1
Gretel;328;358;2
Gretha;6;6;0
Grethe;7;7;0
Grethel;8;10;0
Gretta;6;6;0
Grigorjevna;11;11;1
Griselda;6;6;0
Gristiina;5;5;0
Gry;13;12;1
Guadalupe;16;14;1
Gudrun;219;228;2
Gul;18;15;1
Gulala;5;5;0
Guldine;8;8;0
Gulistan;5;5;0
Gullan;25;25;1
Gullborg;9;9;0
Gullbritt;11;11;1
Gull-Britt;20;22;1
Gullevi;24;23;1
Gulli;8;8;0
Gull-Maj;20;20;1
Gullveig;10;10;1
Gullvi;17;17;1
Gulmira;5;5;0
Gulnara;15;14;1
Gun;905;920;2
Gunborg;260;281;2
Gunbritt;42;41;1
Gun-Britt;399;411;2
Gun-Christin;5;5;0
Gunda;73;82;1
Gundborg;7;7;0
Gundel;36;40;1
Gundis;7;7;0
Gunfrid;5;7;0
Gungerd;10;10;1
Gun-Gerd;8;8;0
Gun-Helen;8;8;0
Gunhild;344;383;2
Gunilla;2156;2179;3
Gunita;7;7;0
Gunlis;42;47;1
Gun-Lis;100;104;2
Gun-Louise;5;5;0
Gunlög;69;72;1
Gun-Maj;129;132;2
Gun-Mari;22;22;1
Gun-Marie;38;40;1
Gun-May;36;36;1
Gunn;92;96;1
Gunnarsdotter;8;8;0
Gunn-Britt;94;95;1
Gunne;12;11;1
Gunnel;827;918;2
Gunneli;6;6;0
Gunne-Maj;13;13;1
Gunnevi;231;237;2
Gunni;35;42;1
Gunni-Maj;10;11;1
Gunn-Lis;11;12;1
Gunn-Maj;14;16;1
Gunta;5;5;0
Gunve;0;5;0
Gunveig;40;40;1
Gunvi;28;30;1
Gun-Viol;36;37;1
Gunvor;877;958;2
Gurli;195;213;2
Gustaava;15;15;1
Gustava;78;76;1
Gwen;15;14;1
Gwendoline;9;9;0
Gwendolyn;13;12;1
Gül;16;15;1
Gülcan;6;5;0
Gülen;6;6;0
Güler;5;5;0
Gülistan;5;0;0
Gülsen;7;7;0
Gülsüm;5;5;0
Güzel;8;8;0
Gyöngyi;6;5;0
Göransdotter;10;10;1
Görel;71;76;1
Göta;276;315;2
Götha;9;10;0
Göthild;5;6;0
H;14;11;1
H.;5;0;0
Ha;105;92;2
Hà;8;0;0
Haagar;5;6;0
Haashi;7;7;0
Haawo;12;11;1
Habeeb;6;0;0
Habib;15;14;1
Habiba;43;41;1
Habibo;14;13;1
Habiiba;10;9;1
Habiibo;10;9;1
Habon;7;7;0
Haboon;8;6;0
Hadassa;10;10;1
Hadassah;8;8;0
Haddy;13;13;1
Hadi;24;18;1
Hadia;15;9;1
Hadil;12;10;1
Hadiya;15;11;1
Hafida;5;5;0
Hafidh;10;8;1
Hafiza;8;7;0
Hafsa;116;109;2
Hafsah;5;0;0
Hafso;15;12;1
Hafza;5;5;0
Hagar;76;83;1
Hagi;12;12;1
Hagi-Dirie;7;7;0
Hai;31;31;1
Haidar;15;14;1
Haide;5;5;0
Haider;15;11;1
Haidi;12;12;1
Haifa;5;5;0
Haije;10;9;1
Haijele;7;8;0
Hailey;48;40;1
Haitham;7;6;0
Haiyan;5;5;0
Haja;6;6;0
Hajar;29;28;1
Hajer;11;10;1
Haji;23;21;1
Hajnalka;9;9;0
Hajrije;6;5;0
Hakima;8;8;0
Hala;20;16;1
Halala;6;6;0
Haldis;8;9;0
Hale;6;5;0
Haley;14;12;1
Haliimo;8;7;0
Halima;98;87;1
Halima-Sadia;6;6;0
Halime;10;10;1
Halimo;59;58;1
Halina;34;33;1
Halla;256;208;2
Hallatar;5;5;0
Halle;5;0;0
Halti;5;0;0
Halyna;5;5;0
Hamad;9;9;0
Hamda;18;16;1
Hamdan;6;6;0
Hamdi;89;84;1
Hameed;18;15;1
Hamid;30;23;1
Hamida;19;18;1
Hamide;11;11;1
Hamsa;7;5;0
Hamza;9;8;0
Han;37;36;1
Hana;62;56;1
Hanaa;16;15;1
Hanaan;31;27;1
Hanad;16;15;1
Hanadi;9;7;0
Hanan;66;59;1
Hanane;13;11;1
Haneen;7;5;0
Hang;54;50;1
Hanh;45;41;1
Hani;113;104;2
Hania;20;13;1
Hanieh;10;10;1
Hanifa;17;14;1
Hanife;12;11;1
Haniin;6;7;0
Hanim;7;6;0
Hanin;22;19;1
Haniya;6;5;0
Hanna;24129;24197;4
Hanna-Anneli;5;5;0
Hanna-Elina;43;43;1
Hanna-Elisa;12;12;1
Hanna-Emilia;13;13;1
Hanna-Greta;5;5;0
Hannah;437;428;2
Hanna-Helena;18;18;1
Hanna-Kaarina;25;25;1
Hanna-Kaija;14;14;1
Hannakaisa;89;89;1
Hanna-Kaisa;878;884;2
Hanna-Karin;5;5;0
Hanna-Karoliina;15;15;1
Hanna-Katariina;19;19;1
Hanna-Katri;19;19;1
Hanna-Katriina;10;10;1
Hanna-Kerttu;6;6;0
Hanna-Kristiina;9;9;0
Hanna-Laura;11;10;1
Hanna-Lea;14;14;1
Hanna-Leea;8;8;0
Hannaleena;168;168;2
Hanna-Leena;1277;1284;3
Hanna-Lena;18;18;1
Hannaliina;6;6;0
Hanna-Liina;6;6;0
Hannaliisa;42;41;1
Hanna-Liisa;286;286;2
Hanna-Lotta;18;18;1
Hannamaaria;6;6;0
Hanna-Maaria;63;64;1
Hanna-Maarit;59;60;1
Hannamaija;45;45;1
Hanna-Maija;388;389;2
Hannamari;442;444;2
Hanna-Mari;1252;1259;3
Hannamaria;54;55;1
Hanna-Maria;684;683;2
Hanna-Marie;12;11;1
Hanna-Marika;20;20;1
Hannamarja;5;5;0
Hanna-Marja;40;40;1
Hanna-Marjut;5;6;0
Hannan;6;5;0
Hannantytär;8;8;0
Hanna-Pauliina;15;15;1
Hanna-Pia;5;5;0
Hanna-Reeta;17;17;1
Hannareetta;6;6;0
Hanna-Reetta;81;81;1
Hanna-Riika;5;5;0
Hannariikka;28;28;1
Hanna-Riikka;289;289;2
Hannariina;15;15;1
Hanna-Riina;35;35;1
Hannariitta;6;6;0
Hanna-Riitta;99;98;1
Hanna-Sisko;14;14;1
Hanna-Sofia;36;36;1
Hannastiina;13;13;1
Hanna-Stiina;12;12;1
Hanna-Stina;8;8;0
Hanna-Tuulia;12;13;1
Hanne;2048;2049;3
Hanne-Kaisa;9;9;0
Hannel;8;8;0
Hannele;85752;86226;4
Hanne-Leena;15;15;1
Hanneli;462;467;2
Hanne-Liisa;5;5;0
Hannelore;28;29;1
Hanne-Maaret;5;5;0
Hanne-Maaria;11;11;1
Hanne-Maarit;29;29;1
Hannemari;36;36;1
Hanne-Mari;143;143;2
Hanne-Maria;54;54;1
Hanne-Marie;13;13;1
Hanne-Marika;8;8;0
Hanne-Riikka;9;10;0
Hanne-Riitta;5;5;0
Hanni;281;281;2
Hanniina;5;5;0
Hannika;10;10;1
Hannimari;7;7;0
Hanni-Mari;9;9;0
Hannukka;6;6;0
Hannuntytär;89;90;1
Hansdotter;16;15;1
Hao;11;11;1
Hareem;5;0;0
Harley;6;5;0
Harmonia;5;0;0
Harmony;8;6;0
Harper;14;11;1
Harriet;1627;1629;3
Harriett;6;6;0
Harrietta;7;7;0
Harriette;18;18;1
Harrintytär;44;43;1
Haru;7;0;0
Hasan;69;54;1
Hashi;19;19;1
Hashim;24;19;1
Hasina;8;7;0
Hasna;12;11;1
Hassan;393;370;2
Hassina;5;5;0
Hasti;8;7;0
Hatem;17;15;1
Hatice;44;43;1
Hava;18;17;1
Havanna;15;13;1
Havin;28;25;1
Havina;18;18;1
Havu;32;11;1
Havva;10;7;1
Hawa;55;50;1
Hawar;6;5;0
Hawo;50;44;1
Hawra;6;6;0
Hawraa;10;6;1
Haya;12;8;1
Hayad;5;5;0
Hayat;27;22;1
Haydee;5;5;0
Hayder;25;18;1
Hayley;23;22;1
Haylie;7;6;0
Hazal;17;12;1
Hazbije;5;5;0
Hazel;52;42;1
Hazim;5;5;0
Heather;34;33;1
Heavenly;5;0;0
Heba;20;16;1
Hebe;15;15;1
Heda;6;0;0
Hedda;159;141;2
Heddi;8;8;0
Heddy;11;13;1
Hede;8;7;0
Hedi;14;14;1
Hedie;9;6;0
Hediye;6;5;0
Hedvig;392;402;2
Hedwig;30;27;1
Hedy;14;14;1
Hee;5;5;0
Heelmä;9;9;0
Hei;5;5;0
Heide;9;9;0
Heidemarie;5;5;0
Heidi;23740;23809;4
Heidi-Hannele;10;10;1
Heidi-Johanna;10;10;1
Heidi-Kristiina;6;6;0
Heidi-Maaria;16;16;1
Heidi-Maarit;17;17;1
Heidi-Maija;6;6;0
Heidi-Mari;22;21;1
Heidimaria;9;9;0
Heidi-Maria;224;224;2
Heidi-Marie;9;9;0
Heidi-Marika;13;13;1
Heidi-Marja;12;12;1
Heidi-Marjaana;5;5;0
Heidi-Susanna;13;13;1
Heidy;12;11;1
Heike;7;7;0
Heikintytär;108;105;2
Heile;10;10;1
Heili;78;68;1
Heilimä;13;13;1
Heine;19;21;1
Heini;3868;3871;3
Heini-Elina;5;5;0
Heinikki;54;55;1
Heini-Leena;8;8;0
Heini-Maaria;9;9;0
Heini-Mari;7;7;0
Heini-Maria;47;47;1
Heini-Marja;12;12;1
Heini-Sofia;8;8;0
Heinä;8;7;0
Heisel;6;7;0
Hekla;13;12;1
Helan;7;5;0
Heldine;50;48;1
Hele;79;81;1
Helea;32;30;1
Heleen;9;7;0
Heleena;3665;3873;3
Helen;1463;1439;3
Helén;156;157;2
Helèn;8;8;0
Helena;121010;123162;5
Heléna;15;15;1
Helene;1585;1552;3
Helené;8;8;0
Heléne;75;76;1
Helène;6;6;0
Héléne;7;7;0
Hélène;62;62;1
Heleni;18;18;1
Heleri;6;6;0
Heleä;5;5;0
Helfrid;33;36;1
Helga;1658;1761;3
Helga-Maria;6;5;0
Helgi;0;5;0
Heli;16368;16504;4
Helia;18;16;1
Helianna;41;41;1
Heli-Anna;7;7;0
Helianne;0;5;0
Heli-Anne;7;7;0
Heli-Anneli;9;9;0
Helie;5;0;0
Heli-Hannele;7;8;0
Heliina;5;5;0
Heli-Johanna;12;12;1
Heli-Kaarina;7;7;0
Heli-Katriina;5;5;0
Heli-Kristiina;9;9;0
Heli-Maaria;11;11;1
Heli-Maarit;25;25;1
Heli-Maija;21;22;1
Heli-Maria;36;37;1
Heli-Marja;28;28;1
Heli-Marjatta;5;6;0
Heli-Marjut;5;5;0
Helin;94;87;1
Helina;36;37;1
Heline;20;21;1
Helintytär;5;5;0
Helinä;9311;9444;3
Heli-Riitta;14;14;1
Helisa;6;6;0
Heli-Sisko;10;10;1
Heli-Susanna;5;5;0
Heli-Tuulia;6;6;0
Heliä;26;27;1
Helja;13;13;1
Helje;5;5;0
Helju;8;8;0
Heljä;1804;1851;3
Heljä-Maria;5;5;0
Heljä-Marja;6;6;0
Heljä-Riitta;5;5;0
Heljä-Sisko;5;5;0
Helka;2305;2386;3
Helka-Liisa;7;7;0
Helka-Maija;5;5;0
Helka-Maria;10;10;1
Helkky;66;72;1
Helky;33;33;1
Hella;19;19;1
Helle;234;240;2
Helleka;13;13;1
Hellen;370;381;2
Helleni;19;21;1
Hellevi;9967;10333;3
Helli;1686;1823;3
